headline,sentiment
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility  contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",0
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,1
"According to the company s updated strategy for the years 20092012 , Basware targets a longterm net sales growth in the range of 20 percent 40 percent with an operating profit margin of 10 percent 20 percent of net sales .",1
FINANCING OF ASPOCOMP S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,1
"For the last quarter of 2010 , Componenta s net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pretax profit from a pretax loss of EUR7m .",1
"In the third quarter of 2010 , net sales increased by 5.2 percent to EUR 205.5 mn , and operating profit by 34.9 percent to EUR 23.5 mn .",1
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 percent of net sales .,1
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 percent of net sales .",1
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom s offering to its customers .,1
"STORA ENSO , NORSKE SKOG , MREAL , UPMKYMMENE Credit Suisse First Boston  CFSB  raised the fair value for shares in four of the largest Nordic forestry groups .",1
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",1
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",1
"Clothing retail chain Seppl s sales increased by 8 percent to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",1
"Consolidated net sales increased 16 percent to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",1
"Foundries division reports its sales increased by 9.7 percent to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 percent to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",1
"HELSINKI  AFX   Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourthquarter earnings report beat analysts  expectations , dealers said .",1
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 20072008 .",1
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",1
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 percent with margins in late 30s .",1
" Filippova  A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",1
"MegaFon s subscriber base increased 16.1 percent in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 percent as of late 2009 , up from 23 percent as of late 2008 , according to TeliaSonera estimates .",1
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from nonlife insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",1
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 percent to EUR43 .1 m.  EUR1  USD1 .4 ,1
"Net sales surged by 18.5 percent to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 percent , of the sales came from the acquisitions made in 2009 .",1
Nordea Group s operating profit increased in 2010 by 18 percent yearonyear to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,1
"Operating profit for the ninemonth period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",1
"Operating profit for the ninemonth period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",1
"Operating profit for the threemonth period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",1
"The Brazilian unit of Finnish security solutions provider FSecure signed up 1,500 new clients last year , online news source Reseller Web quoted the division s commercial director , Vladimir Brando , as saying .",1
"The company s net profit rose 11.4 percent on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 percent up on the year , the company said earlier .",1
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the yearearlier figure , the Lithuanian Brewers  Association reporting citing the results from its members .",1
